,authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,sentiment,we_count,them_count
10,6900000,561,True,1700,46900,2021-04-17T11:17:40.000Z,9500000,109300000,10300,Reply to @_pelin_9 Making Cotton Candy What should I try? Ib: @mooyahyah ✨ #candy #foryou #meme #foryoupage #viral #fyp #asmr,18,"{'label': 'neutral', 'score': 0.7157931923866272}",0,0
11,2200000,150,False,68,66200,2021-07-30T22:05:54.000Z,9500000,35800000,109800,jimmy fallon is sooo suspicious like what’s wrong jimmathan #viral #comedy #meme #xyzcba,14,"{'label': 'negative', 'score': 0.8465564250946045}",2,0
12,150200,52,False,5,102300,2022-02-16T16:08:40.000Z,9300000,54000000,505600,#pourtoi#drole#meme,9,"{'label': 'neutral', 'score': 0.8646699786186218}",1,0
13,10600000,23,True,820,56600,2020-03-30T10:27:15.000Z,9200000,65000000,522800,His no-no square #memes #comedy #funny #funnymoments #humour #vr #virtualreality #vrgame #gaming #meme,10,"{'label': 'neutral', 'score': 0.5111280083656311}",1,0
14,5000000,0,False,255,40700,2022-02-06T04:51:01.000Z,9100000,67800000,45900,"I was about to eat in a restaurant, but I'm banned tf? #fyp #meme #itsstefano",8,"{'label': 'negative', 'score': 0.8303471803665161}",0,0
15,3200000,617,False,109,467000,2020-06-17T20:27:34.000Z,37200000,299500000,2800000,Repost  #catsoftiktok #viral #funny #cute #cutness #foryoupage,13,"{'label': 'positive', 'score': 0.8212862610816956}",0,0
16,5100000,37,False,136,233600,2021-01-09T15:38:27.000Z,20000000,227100000,1300000,Wee #foryou #foryoupage #tiktok #wee #funny #dog #animals #4u #xyzbca #fypage #fail #fyp #viral,7,"{'label': 'positive', 'score': 0.5213491916656494}",1,0
17,8000000,69,True,147,214600,2020-09-05T23:27:18.000Z,19400000,169500000,433300,Our WHOLE Zoom class pranked our teacher  (she was so confused!!) #foryou #foryoupage #fyp #tiktok #viral #funny #trend #trending #funny #lol,14,"{'label': 'positive', 'score': 0.4746152460575104}",2,0
18,1500000,69,False,19,151700,2021-02-02T21:23:50.000Z,18900000,110100000,394000,Had to make sure momma was there #funny #fyp #raccoons #love #bff #foryoupage #ThisorThatSBLV,10,"{'label': 'positive', 'score': 0.8531429171562195}",0,0
19,7900000,1436,False,2447,103800,2021-10-09T17:23:40.000Z,18900000,177700000,391400,Reply to @hankgreen1 @bunmousa not again #comedy #funny #alopecia,16,"{'label': 'negative', 'score': 0.6299407482147217}",1,0
20,4100000,279,False,233,44500,2022-04-04T14:32:45.000Z,17100000,121800000,60300,Who living here? #willsmith #asmr #oddlysatisfying #signs #funny #foryou #fyp @Austin Mollno,51,"{'label': 'positive', 'score': 0.6685725450515747}",1,0
21,8400000,13,False,132,75900,2022-03-22T12:44:33.000Z,16900000,153000000,463900,The end #animal #pet #cats #pets #pets #dogs #animals #dog #wee #funny #cat #fyp #,33,"{'label': 'neutral', 'score': 0.5399225354194641}",1,0
22,6000000,295,False,2197,117500,2021-06-17T02:34:39.000Z,16600000,122600000,363400,Wow!! #comedy #funny #mickeymouse #mickey #oddlysatisfying,13,"{'label': 'positive', 'score': 0.9840351939201355}",1,0
23,46500000,263,True,1280,155600,2020-12-25T14:35:26.000Z,16500000,152100000,159600,@Dasha 님과 #이어찍기 #추천 #fyp #viral #funny #xyzbca #korean #おすすめ,10,"{'label': 'neutral', 'score': 0.5771676898002625}",0,0
24,2200000,6,False,89,137300,2022-04-14T02:40:59.000Z,16300000,300600000,989900,#fyp #fun #memes #cute #petdog #foryou #funny #pet,10,"{'label': 'positive', 'score': 0.8346630930900574}",0,0
25,7300000,99,True,425,86100,2022-04-02T17:23:13.000Z,15500000,243800000,281300,That HURT‼️ #virall #funny #prank #fyp #foryourpage #tiktok,11,"{'label': 'negative', 'score': 0.7424721717834473}",1,0
26,1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,"{'label': 'positive', 'score': 0.6827881336212158}",0,0
27,8400000,13,False,132,94500,2022-04-12T13:55:21.000Z,15100000,121700000,393300,The end #funny #pet #animals #pets #dogs #dog #cats #cat #animal #wee #fyp #viral #,46,"{'label': 'positive', 'score': 0.5766333341598511}",1,0
28,5100000,37,False,136,170600,2020-12-28T19:51:47.000Z,14700000,127700000,621700,Wee  #foryou #foryoupage #4u #tiktok #animals #xyzbca #fypage #funny #wee #dog #fyp #viral #fy,7,"{'label': 'neutral', 'score': 0.5659542679786682}",1,0
29,4100000,154,False,315,35800,2022-05-09T12:52:32.000Z,14500000,144400000,192200,#weee # #pets #cat #pet #animals #animal #catlover #fun #dog #funnyy #dogs #cats #funnyvideos #funny #wee,42,"{'label': 'positive', 'score': 0.7732738852500916}",2,0
30,2600000,84,False,385,183700,2020-08-30T23:46:50.000Z,14200000,112300000,1400000,It threw up#cat #petlifes #funny,6,"{'label': 'neutral', 'score': 0.5120216608047485}",0,0
31,456100,4,False,55,52200,2022-03-14T12:23:57.000Z,8200000,59600000,94700,women ☕#xh #xuhuongtiktok #xuhuong #memes #jokes #women,23,"{'label': 'neutral', 'score': 0.859942615032196}",0,0
32,1700000,2149,True,3543,15800,2021-01-12T16:39:47.000Z,8000000,44300000,12900,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,33,"{'label': 'positive', 'score': 0.9412567019462585}",0,0
33,343400,1266,False,377,48700,2021-12-08T02:52:22.000Z,7900000,53300000,101500,This is how it’s done fellas  #wife #married #couple #funny #jokes,59,"{'label': 'neutral', 'score': 0.5679253339767456}",0,0
34,3400000,40,False,178,45100,2021-05-01T21:11:52.000Z,7200000,29000000,129100,She never understands these..☠️ #fyp #foryou #viral #fypシ #jokes #funnyjokes,15,"{'label': 'negative', 'score': 0.8295941352844238}",0,0
35,242100,857,False,480,33900,2022-01-09T21:28:00.000Z,7200000,39800000,36200,Saw this trend and had to do it #routine #college #sorority #couplecomedy #jokes #foryou,13,"{'label': 'neutral', 'score': 0.6827524304389954}",0,0
36,352200,507,False,115,8351,2021-08-08T19:40:18.000Z,6600000,35100000,35200,Pt.2 Times my jokes haven’t gone according to plan  #joke #jokes #dadjokes #mumjokes #jokeswithmom #entertainment #dadjoke #laugh #jokess #bloopers,38,"{'label': 'negative', 'score': 0.6829654574394226}",0,0
37,508100,1494,False,1463,45900,2022-04-04T21:25:19.000Z,6500000,33600000,230800,Too much “the office” Perfectly executed and I have to act upset. Bless. #momsoftiktok #jokes,18,"{'label': 'negative', 'score': 0.6364607214927673}",0,0
38,68100,88,False,210,46400,2021-08-10T18:50:36.000Z,6500000,26100000,75700,omg now im ashamed of her  #jokes #viral,16,"{'label': 'negative', 'score': 0.9385702610015869}",0,0
39,274400,1509,False,75,62100,2020-07-20T21:18:50.000Z,6400000,25800000,197400,Jokes on him #momsoftiktok #30andoverclub #jokes,39,"{'label': 'neutral', 'score': 0.5462442636489868}",0,0
40,265000,573,False,113,13600,2021-06-20T03:36:38.000Z,6200000,45800000,7868,he is honestly working on his day off and it has me weak because this our vacation for Father’s Day #iCarlyAffirmation #jokes #xyzbca,31,"{'label': 'neutral', 'score': 0.4865712523460388}",3,0
41,792400,705,False,1039,37400,2021-12-15T02:17:58.000Z,6100000,33800000,441100,BLIND REACT! Can you send a 2 year old to art school?? #limblossboss #dreamteamprosthetics #amputee #darkhumour #dadjokes #jokes #funny #comedy #lol #a,13,"{'label': 'neutral', 'score': 0.7209262251853943}",1,0
42,4600000,2392,False,578,19200,2020-05-06T21:01:01.000Z,6100000,41900000,257100,What’s the difference?  #jokes #fyp #foryou #foryoupage #viral #innapropriate #trend,9,"{'label': 'neutral', 'score': 0.8208351731300354}",0,0
43,147500,34,False,17,52400,2022-04-05T17:59:23.000Z,6000000,50200000,281900,#fyp #foryourpage #jokes #jokesintheoffice #tuesday #scaredthehelloutofme @marlybautizta,7,"{'label': 'negative', 'score': 0.5466551184654236}",1,0
44,278600,332,False,757,17400,2022-02-12T22:54:49.000Z,5600000,36900000,211300,#stitch with @gavinfujjj unreal!! #stitch #fypシ #WTF #jokes #funniest #foryoupage #fyp #AlaskaAirCAREoke #crazy #lmao #fish #dogshit,15,"{'label': 'positive', 'score': 0.8809533715248108}",0,0
45,31700,94,False,108,61300,2021-12-22T17:34:57.000Z,5500000,24600000,108100,They’re so innocent  #fyp #jokes #parents #foryou #lol,16,"{'label': 'positive', 'score': 0.6467822194099426}",0,0
46,1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,"{'label': 'positive', 'score': 0.6827881336212158}",0,0
47,960500,1286,False,493,82800,2021-09-24T06:40:54.000Z,8900000,78200000,165100,Well the table broke! ‍♂️ #fyp #fypシ #meme #trend #tablebroke #osu #osugame #godmode #viral,13,"{'label': 'negative', 'score': 0.7142823934555054}",0,0
48,8700000,4,True,89,84900,2021-05-06T14:51:50.000Z,8700000,89800000,17700,So simple ‍♂️ @mingweirocks #meme #fail #funny #foryou #viral,21,"{'label': 'positive', 'score': 0.6015486121177673}",1,0
49,2400000,440,False,10200,56200,2022-02-14T20:56:50.000Z,8700000,51300000,263600,Nobody got hurt everything is Protected  no Danger no Violation everything is Staged and Fake #meme #foryou #funnyvideos  #joke,12,"{'label': 'neutral', 'score': 0.4816189706325531}",0,0
50,2400000,20,False,181,67600,2021-07-15T18:33:26.000Z,8700000,102300000,368600,Wee #foryou #foryoupage #funny #viral #wee #meme #animals #funnyvideo #4u #fypage #funnyanimals #fyp,7,"{'label': 'positive', 'score': 0.6294403076171875}",1,0
51,1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,"{'label': 'positive', 'score': 0.6827881336212158}",0,0
52,46500000,263,True,1280,71700,2021-01-16T15:09:09.000Z,14000000,160400000,61600,@❤️Sasha&Vanya&Roma❤️ 님과 #이어찍기  #추천 #fyp #viral #funny #xyzbca #おすすめ,18,"{'label': 'positive', 'score': 0.7914667129516602}",0,0
53,696800,42,False,90,55300,2022-04-07T14:05:06.000Z,13900000,106100000,323000,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,25,"{'label': 'positive', 'score': 0.848612368106842}",0,0
54,3300000,46,False,263,88800,2021-07-31T16:39:28.000Z,13800000,143800000,223400,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,16,"{'label': 'positive', 'score': 0.631220281124115}",0,0
55,4600000,1016,False,1341,11000,2020-03-07T22:43:56.000Z,5300000,34700000,273800,Follow my insta @drakekiker #AfterMyCoffee #shykids #ChilisBirthday #diyproject #UltraSmoothMoves #joke #jokes #joker #funny #luagh #fy #fyp #foryоu,39,"{'label': 'neutral', 'score': 0.5172145962715149}",0,0
56,333400,533,False,77,5660,2021-08-19T19:34:15.000Z,5200000,34200000,25600,Wait till the end  #prank #pranks #tattoo #funn #fyp #jokes,30,"{'label': 'neutral', 'score': 0.6460199356079102}",0,0
57,9700000,140,False,667,25800,2021-02-05T21:52:47.000Z,5100000,28100000,124900,Dommy has a way with words. #jokes #comedy #laugh #hilarious #minnesota #winona #kickasslife #oldjokes,32,"{'label': 'positive', 'score': 0.8518801927566528}",1,0
58,1300000,421,False,92,9629,2020-04-17T04:18:11.000Z,5100000,26800000,56400,Sister’s BF gotta go #fyp #4u #foryoupage #stayhomestaystrong #toxic #jokes #tiktok,42,"{'label': 'negative', 'score': 0.8437131643295288}",0,0
59,875700,240,False,109,58700,2021-01-11T05:09:45.000Z,5000000,27300000,64700,Don’t ask where I get the inspiration for some of these bc I don’t know hhaha tag them‍♂️ #foryou #drawing #jokes,12,"{'label': 'neutral', 'score': 0.5127133131027222}",0,1
60,3800000,363,True,174,324700,2019-10-30T21:59:00.000Z,27700000,324500000,2100000,You guys (literally) asked for this  #comedy #fyp #wtbdijw,8,"{'label': 'neutral', 'score': 0.6511021256446838}",0,0
61,7900000,1436,False,2447,103800,2021-10-09T17:23:40.000Z,18900000,177700000,391400,Reply to @hankgreen1 @bunmousa not again #comedy #funny #alopecia,16,"{'label': 'negative', 'score': 0.6299407482147217}",1,0
62,55000000,8858,True,1310,94400,2020-02-16T03:40:01.000Z,17600000,226300000,167100,Shaving prank gone wrong  #trend #comedy #prank #fail,16,"{'label': 'negative', 'score': 0.872313380241394}",0,0
63,6000000,295,False,2197,117500,2021-06-17T02:34:39.000Z,16600000,122600000,363400,Wow!! #comedy #funny #mickeymouse #mickey #oddlysatisfying,13,"{'label': 'positive', 'score': 0.9840351939201355}",1,0
64,1600000,50,False,31,176500,2021-11-25T00:42:03.000Z,16100000,91600000,443300,#fyp #foryou #comedy #relatable #ratchetehitegirl #school #bus,28,"{'label': 'neutral', 'score': 0.7726259827613831}",1,0
65,18600000,1644,True,1164,21100,2020-01-19T23:09:08.000Z,14500000,126700000,80300,Got my parents so good with this shaving prank  #trend #comedy #prank,10,"{'label': 'positive', 'score': 0.8930572271347046}",0,0
66,26700000,117,True,299,94700,2020-06-01T20:08:25.000Z,13800000,78500000,238900,People VS. Cartoons Ep. 4 #cartoons #comedy #humor #wholesome,58,"{'label': 'neutral', 'score': 0.6178836226463318}",0,0
67,3300000,46,False,263,88800,2021-07-31T16:39:28.000Z,13800000,143800000,223400,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,16,"{'label': 'positive', 'score': 0.631220281124115}",0,0
68,359400,63,False,54,178800,2020-05-23T03:30:48.000Z,13700000,76900000,673200,Netflix vs reality  #neverhaveiever #fyp #inyourface #viral #trend #tiktok #comedy,10,"{'label': 'neutral', 'score': 0.8516783118247986}",1,0
69,21200000,34,True,790,132900,2021-07-21T14:56:20.000Z,13700000,118300000,362600,Android vs Apple  #mercuri_88 #littlebrother #mom #foryou #foryoupage #fyp #fypシ #funny #comedy #humor #xyzbca #apple #4u #fy #pov #trend #viral,10,"{'label': 'neutral', 'score': 0.5352920889854431}",0,0
70,1300000,977,False,597,231900,2021-12-29T19:01:04.000Z,13400000,109800000,397600,#comedy #whatmademeviral #whatmadeyoufamous #blowthisup #dontletthisflop #enablednotdisabled #boxing #trainliketrent #areyounewhere #ohno #andaweeee,8,"{'label': 'positive', 'score': 0.5083001255989075}",2,0
71,4700000,224,False,809,131800,2021-05-19T20:59:19.000Z,13400000,86300000,552000,Dustin made a new friend shheeEeEEEEE #fyp #4u #comedy #kidsbelike,32,"{'label': 'positive', 'score': 0.6635298132896423}",1,0
72,4000000,124,True,83,123600,2020-08-26T00:41:34.000Z,13200000,64200000,388200,So yall just thought I didn’t have a mom? #comedy #africanparents #viral #fyp,31,"{'label': 'neutral', 'score': 0.6532214879989624}",1,0
73,55000000,8858,True,1310,15600,2020-01-28T06:15:15.000Z,12700000,146800000,72100,Pranked my barber today  #trend #comedy #prank,11,"{'label': 'positive', 'score': 0.5711750984191895}",0,0
74,6900000,69,True,85,82500,2022-01-05T20:44:47.000Z,12500000,73000000,412600,Welcome to the mouth #comedy #fyp,39,"{'label': 'positive', 'score': 0.6010587811470032}",0,0
75,1600000,5,False,358,122800,2022-02-07T19:33:13.000Z,12600000,73400000,1000000,Still gets me every time #gheefunny #mcdonaldshacks #fyp #foryoupage #DIYwithBlock #foryou #viral #famous #funny #comedy #hilarious #fy #fypシ #share,42,"{'label': 'positive', 'score': 0.9462416172027588}",2,0
76,5400000,3132,False,571,140600,2021-07-11T18:54:31.000Z,12200000,57600000,280500,#distorted #grandpa #cool #grandma #comedy #foryou #fypisbroken #DontSpillChallenge,8,"{'label': 'neutral', 'score': 0.5182068347930908}",0,0
77,5800000,2775,True,670,100900,2019-03-01T04:48:20.000Z,11600000,149500000,1200000,Teaching Granny Meme Songs  #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,13,"{'label': 'neutral', 'score': 0.6081758141517639}",1,0
78,55000000,8858,True,1310,20500,2020-01-02T06:56:33.000Z,11400000,105800000,67500,Head hitting beatbox prank  Got them good  @jonklaasen @elyssajoy_ #beatbox #comedy #prank,9,"{'label': 'positive', 'score': 0.9093231558799744}",0,1
79,104200,495,False,65,105900,2022-03-02T14:19:53.000Z,12400000,53200000,226300,NERF GUN!!!! #funny #choir #singing #comedy,11,"{'label': 'positive', 'score': 0.9091418385505676}",0,0
80,646900,801,False,32,347500,2021-06-07T19:15:53.000Z,17700000,167500000,1300000,Nothing to see here....just #tickling a #fish and making him #laugh,9,"{'label': 'neutral', 'score': 0.5348216891288757}",1,0
81,177300,5271,False,133,344300,2021-02-05T05:19:12.000Z,12800000,63500000,1000000,"Uhhh, she isn’t robbing anyone with that mask. #challenge #fyp #follow4follow #kitten #funny #laugh #hilarious #sock #animal #fail #kitty #cat",10,"{'label': 'neutral', 'score': 0.4431612491607666}",1,0
82,1500000,1922,False,617,186900,2021-11-22T21:55:38.000Z,12400000,92800000,366700,He’s quite the actor  #fyp #lucas #smile #actor #laugh #viral #babiesoftiktok #boymom,11,"{'label': 'positive', 'score': 0.9335208535194397}",0,0
83,2900000,23,False,142,28800,2022-01-08T12:31:49.000Z,9400000,72600000,138000,#laugh #cats #cat #fun # #animals #funny #wee #animal #funnyvideos #funnyvideo,20,"{'label': 'positive', 'score': 0.8371440768241882}",1,0
84,2900000,23,False,142,40200,2022-06-14T13:20:33.000Z,9400000,62200000,120800,#laugh #funny #cat #funnyvideo #funnyvideos #wee #cats #pet #fun #animals #pets #dog #animal #,45,"{'label': 'positive', 'score': 0.7772586941719055}",1,0
85,1700000,2149,True,3543,15800,2021-01-12T16:39:47.000Z,8000000,44300000,12900,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,33,"{'label': 'positive', 'score': 0.9412567019462585}",0,0
86,291000,41,False,302,68100,2022-01-28T10:09:32.000Z,7500000,63100000,195500,Gangster #toliet #snoopdog #fyp #viral #lol #foryou #whatyoulookingat #funny #laugh #australia,15,"{'label': 'neutral', 'score': 0.4751722812652588}",1,0
87,3800000,178,False,1274,17700,2021-10-27T01:21:02.000Z,6900000,38700000,127600,Uno Reverse Card #fyp #foryou #family  #laugh #funny #mom #grandma,26,"{'label': 'positive', 'score': 0.6622791886329651}",0,0
88,4300000,407,True,492,36400,2021-09-17T04:30:37.000Z,6800000,43200000,151900,YouDONE?! #bird #australia #birdsoftiktok #laugh #hamlet #comedy #fyp #whatdoing #funny,11,"{'label': 'neutral', 'score': 0.5854988694190979}",1,0
89,352200,507,False,115,8351,2021-08-08T19:40:18.000Z,6600000,35100000,35200,Pt.2 Times my jokes haven’t gone according to plan  #joke #jokes #dadjokes #mumjokes #jokeswithmom #entertainment #dadjoke #laugh #jokess #bloopers,38,"{'label': 'negative', 'score': 0.6829654574394226}",0,0
90,2900000,23,False,142,31600,2022-06-22T12:48:58.000Z,6600000,43500000,73400,The end #cat #funnyvideos #funnyvideo #pet #cats #fun #pets #animals #dog #funny #laugh #catsoftiktok #,49,"{'label': 'positive', 'score': 0.7735884189605713}",0,0
91,2700000,181,False,112,51300,2021-12-07T15:38:24.000Z,6400000,104500000,203000,Another Helicopter Helicopter Instagram @ricoanimations #viral #fyp #foryoupage #foryou #funnyvideos #tiktokanimations #laugh,13,"{'label': 'positive', 'score': 0.4965816140174866}",0,0
92,198500,8629,False,626,8819,2022-04-01T14:56:09.000Z,6300000,51400000,5930,Happy April Fools Day! #aprilfools #day #pranks #prankster #funday #justforfun #justkidding #funnyvideo #comedy #nativefamilies #nativehumor #smile #laugh #fyp #fypシ #fypdongggggggg #GameTok #AFairShotWithBlock #specialtalent #busted have a great day!,47,"{'label': 'positive', 'score': 0.9681159853935242}",3,0
93,1800000,321,False,1012,18000,2021-06-11T14:00:33.000Z,6200000,62700000,66500,anked #time #to #freak #out #funnyy #prank #foryourpage #foryoupage #foryou #fypp #fypシ゚viral #pourtoi #entertain_ #enjoy #the #laugh,24,"{'label': 'neutral', 'score': 0.5536378622055054}",2,0
94,484200,183,False,21,62300,2021-12-16T16:24:19.000Z,5900000,94300000,682900,Ill never get tired of watching you two #identicaltwins #twingirls #laugh #tickle #builtinbesties,30,"{'label': 'positive', 'score': 0.9751537442207336}",0,0
95,2100000,136,False,296,76100,2022-04-06T15:13:51.000Z,5700000,56800000,146300,mhh.. @gundajunes #fürdich #fypシ #junes #mom #mama #comedy #eat #pizza #ups #laugh #tiktok #fyp [INSTA: kathijunes],49,"{'label': 'neutral', 'score': 0.6817958354949951}",0,0
96,155300,318,False,184,35600,2021-03-02T21:21:01.000Z,5600000,21300000,60400,Day two! I know it’s technically pasta but I always call it noodles‍♀️ #fypシ  #foryoupage #noodles #oblivious #prank #funny #naughty #pasta #laugh,59,"{'label': 'positive', 'score': 0.5592748522758484}",1,0
97,2500000,680,False,4309,150000,2021-03-23T18:31:05.000Z,10700000,67900000,383000,That kid has a scary laugh  #hauntedtiktok #scary #creepy #childsplay #chucky #scarylaugh #paranormal #laugh,11,"{'label': 'negative', 'score': 0.5962636470794678}",0,0
98,2100000,136,False,296,88000,2022-04-09T15:10:46.000Z,5300000,46600000,428600,So its me @gundajunes #fürdich #onion #junes #mom #mama #comedy #laugh #fyp #tiktok #daughter [INSTA: kathijunes],29,"{'label': 'neutral', 'score': 0.665636420249939}",0,0
99,2100000,719,True,593,13300,2020-03-20T16:02:31.000Z,5200000,40800000,73200,CEO of bored in the house #bored #thedrop #foryou #theworst #fyp #tiktoksa #funny #laugh #xyzbca,7,"{'label': 'negative', 'score': 0.8358066082000732}",1,0
100,34000000,1996,True,676,190800,2020-12-24T14:44:52.000Z,22600000,163800000,610400,eu sei fazer Também! #memes @omgitsashleigh,14,"{'label': 'neutral', 'score': 0.6045083403587341}",0,0
101,589700,2,False,27,112000,2021-12-08T22:22:27.000Z,18400000,91100000,299300,#memes,46,"{'label': 'neutral', 'score': 0.7995482683181763}",0,0
102,2200000,6,False,89,137300,2022-04-14T02:40:59.000Z,16300000,300600000,989900,#fyp #fun #memes #cute #petdog #foryou #funny #pet,10,"{'label': 'positive', 'score': 0.8346630930900574}",0,0
103,11600000,2087,True,2336,72200,2021-07-17T20:51:22.000Z,10800000,57800000,91700,Reply to @mortyandrick03 It’s the view at the end for me #fyp #foryoupage #leethe4th #tall #memes,55,"{'label': 'neutral', 'score': 0.6414909362792969}",0,0
104,236100,20,False,659,60600,2021-08-24T19:34:34.000Z,10300000,48600000,133400,Wait for it... #memes #beat #drop,11,"{'label': 'positive', 'score': 0.5539536476135254}",0,0
105,225500,3,False,27,66400,2022-04-30T13:49:08.000Z,10000000,83900000,110500,women☕:))#memes #memestiktok #funnyvideo #fypシ #fyp,23,"{'label': 'positive', 'score': 0.75580894947052}",0,0
106,10600000,23,True,820,56600,2020-03-30T10:27:15.000Z,9200000,65000000,522800,His no-no square #memes #comedy #funny #funnymoments #humour #vr #virtualreality #vrgame #gaming #meme,10,"{'label': 'neutral', 'score': 0.5111280083656311}",1,0
107,249600,5565,False,42,193300,2022-02-07T16:14:09.000Z,8900000,93800000,434700,#imaddictedto #fypシ #fypシ゚viral #foryoupage #btsanjing #fypdongggggggg #memes #memestiktok #happynewyear2022,15,"{'label': 'positive', 'score': 0.7600120306015015}",0,0
108,4100000,203,False,1705,83000,2021-09-18T22:57:55.000Z,8400000,54700000,199300,This is the first running/screaming video that inspired all my others  Follow for more  #yeahthatgreenville #greenvillesc #greenville #parkour #perfectlycutscreams #scream #yell #yelling #falling #run #running #funny #meme #memes #viral #trending #TeamUSATryout #IDeserveTuitionContest #ZFlipClackdown #lol #memesdaily #tiktok,8,"{'label': 'positive', 'score': 0.9115903973579407}",1,0
109,286100,0,False,5,86300,2021-07-25T02:45:07.000Z,8200000,44200000,95300,#tiktok #instagram #love #like #viral #follow #memes #explorepage #instagood #likeforlikes,13,"{'label': 'positive', 'score': 0.6237580180168152}",0,0
110,456100,4,False,55,52200,2022-03-14T12:23:57.000Z,8200000,59600000,94700,women ☕#xh #xuhuongtiktok #xuhuong #memes #jokes #women,23,"{'label': 'neutral', 'score': 0.859942615032196}",0,0
111,4100000,203,False,1705,119300,2021-08-11T04:01:30.000Z,8000000,39900000,221500,Tag That Friend That Always Be Falling Asleep  #foryou #funny #fail #nap #sleep #pennsylvania #SHEINcares #viral #trending #meme #memes #foryoupage,6,"{'label': 'neutral', 'score': 0.4936932623386383}",0,0
112,490700,7,False,87,114700,2021-10-07T15:02:08.000Z,7900000,72600000,495600,#foryoupage #fyp #funny #viral #memes #xyzbca,39,"{'label': 'positive', 'score': 0.6374150514602661}",0,0
113,624500,0,False,96,40200,2022-04-14T16:08:13.000Z,7900000,61000000,185400,"You laugh, you replay de video #meme #memes #LiveForTheChallenge #viral #fyp #foryoupage #compilation #funny #justmemes2022 #fy",24,"{'label': 'positive', 'score': 0.7228369116783142}",1,0
114,4100000,203,False,1705,57000,2022-02-27T01:51:50.000Z,7400000,59000000,73600,"Location: @motivemovement in Greenville, South Carolina  #motiveschoolofmovement #foryou #viral #trending #perfectlycutscreams #greenville #southcarolina #funny #meme #bobreese #screams #motivemovement #motive #memes",18,"{'label': 'positive', 'score': 0.7322625517845154}",0,0
